id,name,name_sp,nome-vide,vide_type,lookup,lookup_sp
135992,Alberto Dias,Alberto Dias,Monteiro,add,Alberto Dias Monteiro,Alberto Dias Monteiro
251010,Alberto Dias Monteiro,Alberto Dias Monteiro,Dias,cut,Alberto Dias,Alberto Dias
134545,Alberto da Fonseca Rebelo,Alberto Fonseca Rebelo,Fonseca,cut,Alberto da Fonseca,Alberto Fonseca
298044,Alberto de Moura Pinto,Alberto Moura Pinto,Alberto Marques,rep,Alberto Marques,Alberto Marques
168566,Alberto de Negreiros,Alberto Negreiros,Ferreira,add,Alberto de Negreiros Ferreira,Alberto Negreiros Ferreira
220850,Alberto Pais,Alberto Pais,Machado,add,Alberto Pais Machado,Alberto Pais Machado
181626,Alberto Pais Machado,Alberto Pais Machado,Pais,cut,Alberto Pais,Alberto Pais
268701,Albino Abranches Figueiredo Freire Abreu,Albino Abranches Figueiredo Freire Abreu,Albino Abranches Freire de Figueiredo,rep,Albino Abranches Freire de Figueiredo,Albino Abranches Freire Figueiredo
290510,Albino Abranches Freire Figueiredo Abreu e Castro,Albino Abranches Freire Figueiredo Abreu Castro,Albino Abranches Freire de Figueiredo,rep,Albino Abranches Freire de Figueiredo,Albino Abranches Freire Figueiredo
290510,Albino Abranches Freire Figueiredo Abreu e Castro,Albino Abranches Freire Figueiredo Abreu Castro,Albino Abranches Freire de Figueiredo,rep,Albino Abranches Freire de Figueiredo,Albino Abranches Freire Figueiredo
172659,Aleixo Nunes,Aleixo Nunes,Leal,add,Aleixo Nunes Leal,Aleixo Nunes Leal
172659,Aleixo Nunes,Aleixo Nunes,Leal,add,Aleixo Nunes Leal,Aleixo Nunes Leal
197436,Aleixo Nunes Leal,Aleixo Nunes Leal,Nunes,cut,Aleixo Nunes,Aleixo Nunes
197436,Aleixo Nunes Leal,Aleixo Nunes Leal,Nunes,cut,Aleixo Nunes,Aleixo Nunes
190775,Aleixo Rodrigues,Aleixo Rodrigues,Coelho,add,Aleixo Rodrigues Coelho,Aleixo Rodrigues Coelho
193260,Aleixo Rodrigues Coelho,Aleixo Rodrigues Coelho,Rodrigues,cut,Aleixo Rodrigues,Aleixo Rodrigues
133706,Alexandre Amador Ramos,Alexandre Amador Ramos,Amador,cut,Alexandre Amador,Alexandre Amador
287784,Alexandre António das Neves,Alexandre António Neves,Portugal,add,Alexandre António das Neves Portugal,Alexandre António Neves Portugal
147478,Alexandre de Araújo,Alexandre Araújo,Sodré,add,Alexandre de Araújo Sodré,Alexandre Araújo Sodré
233523,Alexandre de Araújo Sodré,Alexandre Araújo Sodré,Araújo,cut,Alexandre de Araújo,Alexandre Araújo
150450,Alexandre Barata,Alexandre Barata,Guerra,add,Alexandre Barata Guerra,Alexandre Barata Guerra
150110,Alexandre Batista,Alexandre Batista,Sousa,add,Alexandre Batista Sousa,Alexandre Batista Sousa
234289,Alexandre Batista de Sousa,Alexandre Batista Sousa,Batista,cut,Alexandre Batista,Alexandre Batista
186626,Alexandre Botelho,Alexandre Botelho,Morais,add,Alexandre Botelho Morais,Alexandre Botelho Morais
284560,Alexandre da Costa Pinto Couto Magalhães,Alexandre Costa Pinto Couto Magalhães,Alexandre da Costa Pinto,cut,Alexandre da Costa Pinto,Alexandre Costa Pinto
316642,Alexandre da Cunha Piguateli da Gama Soutomaior,Alexandre Cunha Piguateli Gama Soutomaior,Alexandre da Cunha Freire Robalo Piguateli,rep,Alexandre da Cunha Freire Robalo Piguateli,Alexandre Cunha Freire Robalo Piguateli
152672,Alexandre Duarte de Carvalho,Alexandre Duarte Carvalho,Duarte,cut,Alexandre Duarte,Alexandre Duarte
129873,Alexandre Ferreira de Campos,Alexandre Ferreira Campos,Ferreira,cut,Alexandre Ferreira,Alexandre Ferreira
132080,Alexandre de Figueiredo,Alexandre Figueiredo,Perdigão,add,Alexandre de Figueiredo Perdigão,Alexandre Figueiredo Perdigão
