ano,entradas,saidas,presentes,entradas_mm_5,presentes_mm_5
1844,189.0,149.0,873.0,140.0,820.6
1845,138.0,137.0,874.0,138.8,805.0
1846,20.0,195.0,699.0,146.6,815.4
1847,192.0,145.0,746.0,146.2,815.2
1848,194.0,55.0,885.0,141.4,804.2
1849,187.0,200.0,872.0,156.6,763.4
1850,114.0,167.0,819.0,160.4,749.4
1851,96.0,420.0,495.0,156.2,727.0
1852,211.0,30.0,676.0,152.2,702.2
1853,173.0,76.0,773.0,155.4,680.2
1854,167.0,192.0,748.0,160.0,717.2
1855,130.0,169.0,709.0,148.6,689.6
1856,119.0,148.0,680.0,150.2,652.6
1857,154.0,296.0,538.0,131.8,605.4
1858,181.0,131.0,588.0,137.8,586.8
1859,75.0,151.0,512.0,153.0,600.2
1860,160.0,56.0,616.0,142.6,632.8
1861,195.0,64.0,747.0,139.8,659.6
1862,102.0,148.0,701.0,142.4,687.6
1863,167.0,146.0,722.0,132.2,690.8
1864,88.0,158.0,652.0,110.8,656.2
1865,109.0,129.0,632.0,106.2,619.0
1866,88.0,146.0,574.0,101.6,581.4
1867,79.0,138.0,515.0,106.4,557.2
1868,144.0,125.0,534.0,108.2,531.8
1869,112.0,115.0,531.0,120.0,525.6
1870,118.0,144.0,505.0,132.0,538.8
1871,147.0,109.0,543.0,131.2,552.4
1872,139.0,101.0,581.0,134.0,562.4
1873,140.0,119.0,602.0,132.2,575.4
1874,126.0,147.0,581.0,121.2,575.8
1875,109.0,120.0,570.0,115.2,565.6
1876,92.0,117.0,545.0,108.2,551.8
1877,109.0,124.0,530.0,106.2,539.8
1878,105.0,102.0,533.0,109.4,527.8
1879,116.0,128.0,521.0,114.6,523.2
1880,125.0,136.0,510.0,117.4,526.6
1881,118.0,106.0,522.0,123.4,538.6
1882,123.0,98.0,547.0,122.0,554.4
1883,135.0,89.0,593.0,122.2,570.6
1884,109.0,102.0,600.0,151.0,612.2
1885,126.0,135.0,591.0,155.8,642.4
1886,262.0,123.0,730.0,170.6,676.4
1887,147.0,179.0,698.0,185.4,704.8
1888,209.0,144.0,763.0,199.0,739.6
1889,183.0,204.0,742.0,180.8,748.4
1890,194.0,171.0,765.0,189.4,769.8
1891,171.0,162.0,774.0,186.2,783.4
1892,190.0,159.0,805.0,192.2,805.0
1893,193.0,167.0,831.0,206.4,834.4
1894,213.0,194.0,850.0,201.0,846.4
1895,265.0,203.0,912.0,212.0,864.8
1896,144.0,222.0,834.0,219.8,881.2
1897,245.0,182.0,897.0,229.2,902.2
1898,232.0,216.0,913.0,227.0,914.0
1899,260.0,218.0,955.0,227.4,922.8
1900,254.0,238.0,971.0,211.4,904.8
1901,146.0,239.0,878.0,196.6,877.4
1902,165.0,236.0,807.0,186.0,846.4
1903,158.0,189.0,776.0,184.4,818.2
1904,207.0,183.0,800.0,212.2,825.2
1905,246.0,216.0,830.0,238.0,864.8
1906,285.0,202.0,913.0,268.0,920.4
1907,294.0,202.0,1005.0,286.6,981.0
1908,308.0,259.0,1054.0,264.6,983.6
1909,300.0,251.0,1103.0,210.4,897.4
1910,136.0,396.0,843.0,170.0,805.4
1911,14.0,375.0,482.0,116.6,666.2
1912,92.0,29.0,545.0,58.0,490.4
1913,41.0,228.0,358.0,31.6,350.2
1914,7.0,141.0,224.0,29.8,273.0
1915,4.0,86.0,142.0,11.8,175.8
1916,5.0,51.0,96.0,3.6,113.0
1917,2.0,39.0,59.0,2.2,74.6
1918,0.0,15.0,44.0,1.4,50.8
1919,0.0,12.0,32.0,0.4,34.6
1920,0.0,9.0,23.0,0.0,25.2
1921,0.0,8.0,15.0,0.0,18.4
1923,0.0,3.0,12.0,0.0,13.4
1924,0.0,2.0,10.0,0.0,10.0
1926,0.0,3.0,7.0,0.0,7.2
1927,0.0,1.0,6.0,,
1928,0.0,5.0,1.0,,
