place_name,geocoder,id,address,city,country,importance,class,type,latitude,longitude,distance
Arcozelo,osm,4055523,"Arcozelo, Barcelos, Braga, Portugal",Barcelos,Portugal,0.4932672461146192,boundary,administrative,41.5423601,-8.6127013,149.07974264571035
Arcozelos,osm,6364359,"Arcozelos, Moimenta da Beira, Viseu, Portugal",Arcozelos,Portugal,0.4035042058306902,boundary,administrative,40.964923,-7.588698641701325,110.0010192230933
Aregos,osm,4321086862,"São Romão de Aregos, Anreade e São Romão de Arego, Resende, Viseu, Portugal",Anreade e São Romão de Arego,Portugal,0.375,place,village,41.0877551,-7.9812636,104.74563342345697
Arganil,osm,5395069,"Arganil, Coimbra, Portugal",Arganil,Portugal,0.5348725815835338,boundary,administrative,40.2202451,-7.980700223101081,37.933959732157376
Argozelo,osm,5726617,"Argozelo, Bragança, Portugal",Argozelo,Portugal,0.4141234681398241,boundary,administrative,41.6424891,-6.6002798,221.45426567648207
Armamar,osm,5328699,"Armamar, Viseu, Portugal",Armamar,Portugal,0.5358646738196668,boundary,administrative,41.1077323,-7.691601,117.69664306683238
Arneiros,osm,4918727489,"Arneiros, Ventosa, Torres Vedras, Lisboa, Portugal",Torres Vedras,Portugal,0.36,place,hamlet,39.058814,-9.3248146,149.05207340407873
Arnelas,osm,4422559170,"Arnelas, Sandim, Olival, Lever e Crestuma, Vila Nova de Gaia, Olival, Porto, PT-13, Portugal",Vila Nova de Gaia,Portugal,0.36,place,hamlet,41.0827135,-8.5235322,97.54797141336196
Arnoia,osm,4175608,"Arnoia, Celorico de Basto, Braga, Portugal",Arnoia,Portugal,0.4136784669331538,boundary,administrative,41.3666676,-8.010398190784684,133.42736111025903
Arouca,osm,3920278,"Arouca, Aveiro, Portugal",Arouca,Portugal,0.5574401015980972,boundary,administrative,40.930343,-8.273058398625317,81.31519888651658
Arrancada,osm,5349208183,"Arrancada, Febres, Cantanhede, Coimbra, Portugal",Febres,Portugal,0.36,place,hamlet,40.3981747,-8.6208697,26.890506922418385
Arrifana,osm,6022189,"Arrifana, Santa Maria da Feira, Aveiro, Portugal",Santa Maria da Feira,Portugal,0.4505469222584372,boundary,administrative,40.9116856,-8.4952939,78.42509865239084
Arrifana de Poiares,osm,6553858,"Arrifana, Vila Nova de Poiares, Coimbra, Portugal",Vila Nova de Poiares,Portugal,0.5602548452552094,boundary,administrative,40.2282359,-8.2761381,12.96447335819284
Arrifana de Santa Maria,osm,6022189,"Arrifana, Santa Maria da Feira, Aveiro, Portugal",Santa Maria da Feira,Portugal,0.6505469222584372,boundary,administrative,40.9116856,-8.4952939,78.42509865239084
Arronches,osm,5397420,"Arronches, Portalegre, Portugal",Arronches,Portugal,0.530199256633795,boundary,administrative,39.1070925,-7.252990258054288,158.29609967403553
Arruda,osm,6362719133,"Arruda, Salvada e Quintos, Beja, Beja, Portugal",Beja,Portugal,0.3099999999999999,place,farm,37.9786041,-7.7553902,254.1453846867963
Arzila,osm,2731329388,"Arzila, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.385,place,village,40.1835919,-8.5531514,11.14529837164976
Assafarge,osm,1396434925,"Assafarge, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.385,place,village,40.1588662,-8.431578,5.412409815774921
Asseiceira,osm,6483053,"Asseiceira, Tomar, Santarém, Portugal",Tomar,Portugal,0.4599999999999999,boundary,administrative,39.5301562,-8.391775,75.25525254248966
Assequins,osm,1006497875,"Assequins, Catraia de Assequins, Águeda e Borralha, Águeda, Aveiro, Portugal",Águeda,Portugal,0.36,place,neighbourhood,40.5730796,-8.432983,40.60772754774897
Assumar,osm,6440306,"Assumar, Monforte, Portalegre, Portugal",Monforte,Portugal,0.4599999999999999,boundary,administrative,39.1407521,-7.3928634,147.92701075817448
Atei,osm,4193247,"Atei, Mondim de Basto, Vila Real, Portugal",Mondim de Basto,Portugal,0.3558506578483178,boundary,administrative,41.4579941,-7.9262087,145.1334624584585
Atouguia,osm,6461801,"Atouguia, Ourém, Santarém, Portugal",Ourém,Portugal,0.4599999999999999,boundary,administrative,39.6487049,-8.6317502,64.48112315300641
Atouguia da Baleia,osm,6548050,"Atouguia da Baleia, Peniche, Leiria, Portugal",Peniche,Portugal,0.65,boundary,administrative,39.32497275,-9.322659669303755,124.50757324061397
