pop,date_in,date_max,name,name_normalized,id_ine_inspire,geonamesid,context_0,context_1,context_2,context_3,country,gaz_id_explicit,latitude,longitude,code,dsg,level,inside,address,geonames_name,gazetteer,total_score,date,wikidata_id
1,1611-10-01,1611-10-01,Avanea,Avanea,,,Avanea,,,,Portugal,,,,,,,,,,,,,
1,1673-04-13,1673-04-13,Aveiras,Aveiras,,8010417,Aveiras,,,,Portugal,,40.62398,-8.61628,PRT.1.5.11_1,Santa Joana,3.0,PRT.1.5_1,"Aveiras, Santa Joana, Aveiro, Aveiro",Aveiras,geonames-pt,10.0,2024-11-10 14:52:32.929320,Q485581
1,1689-10-15,1689-10-15,Aveirinha,Aveirinha,,,Aveirinha,,,,Portugal,,,,,,,,,,,,,
1,1577-12-17,1577-12-17,"Aveiro, Antuã","Aveiro, Antuã",,,Aveiro,Antuã,,,Portugal,,,,,,,,,,,,,
1,1574-00-00,1574-00-00,"Aveiro, Avanca","Aveiro, Avanca",,2742610,Aveiro,Avanca,,,Portugal,,40.72974,-8.4815,PRT.1.2.4_1,Branca,3.0,PRT.1.2_1,"Aveiro, Branca, Albergaria-a-Velha, Aveiro",Aveiro,geonames-pt,18.333333333333336,2024-11-10 14:52:30.314316,Q210527
1,1740-10-01,1740-10-01,"Aveiro, Esgueira","Aveiro, Esgueira",,,Aveiro,Esgueira,,,Portugal,,,,,,,,,,,,,
1,1604-11-03,1604-11-03,"Aveiro, Ihavo","Aveiro, Ihavo",,,Aveiro,Ihavo,,,Portugal,,,,,,,,,,,,,
1,1789-10-24,1789-10-24,"Aveiro, Palmas","Aveiro, Palmas",,,Aveiro,Palmas,,,Portugal,,,,,,,,,,,,,
1,1765-10-01,1765-10-01,"Avelade, Maia","Avelade, Maia",,,Avelade,Maia,,,Portugal,,,,,,,,,,,,,
1,1671-11-03,1671-11-03,"Avelar, Chãs de Couce","Avelar, Chãs de Couce",,,Avelar,Chãs de Couce,,,Portugal,,,,,,,,,,,,,
1,1751-10-01,1751-10-01,Aveleda ou Belide,Aveleda ou Belide,,,Aveleda ou Belide,,,,Portugal,,,,,,,,,,,,,
1,1750-10-01,1750-10-01,Aveleda ou Vilela,Aveleda ou Vilela,,,Aveleda ou Vilela,,,,Portugal,,,,,,,,,,,,,
1,1609-12-10,1609-12-10,"Aveloso, Lamego","Aveloso, Lamego",,,Aveloso,Lamego,,,Portugal,,,,,,,,,,,,,
1,1819-10-29,1819-10-29,Avelã da Ribeira,Avelã da Ribeira,,,Avelã da Ribeira,,,,Portugal,,,,,,,,,,,,,
1,1764-10-01,1764-10-01,"Avelãs, Guarda","Avelãs, Guarda",,,Avelãs,Guarda,,,Portugal,,,,,,,,,,,,,
1,1736-10-01,1736-10-01,Avessada,Avessada,,,Avessada,,,,Portugal,,,,,,,,,,,,,
1,1556-04-00,1556-04-00,Avessadas,Avessadas,,8012758,Avessadas,,,,Portugal,,41.1614,-8.18177,PRT.15.7.3_1,Avessadas,3.0,PRT.15.7_1,"Avessadas, Avessadas, Marco de Canaveses, Porto",Avessadas,geonames-pt,15.0,2024-11-10 14:52:31.892833,Q790672
1,1549-00-00,1549-00-00,"Avessadas, Canaveses","Avessadas, Canaveses",,,Avessadas,Canaveses,,,Portugal,,,,,,,,,,,,,
1,1765-10-01,1765-10-01,"Aveçada, Serpins","Aveçada, Serpins",,,Aveçada,Serpins,,,Portugal,,,,,,,,,,,,,
1,1815-10-27,1815-10-27,Avidagos,Avidagos,,8011526,Avidagos,,,,Portugal,,41.402,-7.28968,PRT.5.7.6_1,Avidagos,3.0,PRT.5.7_1,"Avidagos, Avidagos, Mirandela, Bragança",Avidagos,geonames-pt,15.0,2024-11-10 14:52:31.893745,Q790927
1,1711-10-01,1711-10-01,Avioso,Avioso,,,Avioso,,,,Portugal,,,,,,,,,,,,,
1,1601-10-01,1601-10-01,Avir,Avir,,,Avir,,,,Portugal,,,,,,,,,,,,,
1,1610-10-12,1610-10-12,"Avis, Fronteira","Avis, Fronteira",,,Avis,Fronteira,,,Portugal,,,,,,,,,,,,,
1,1894-10-13,1894-10-13,"Ayamonte, Espanha","Ayamonte, Espanha",,2521456,Ayamonte,,,,Espanha,,37.21329,-7.40807,ESP.1.5.2_1,Ayamonte,3.0,ESP.1.5_1,"Ayamonte, Ayamonte, Huelva, Andalucía",Ayamonte,geonames-es,15.0,2024-11-10 14:52:30.514484,Q24013510
1,1749-10-26,1749-10-26,"Azanha, Vilarinho do Bairro","Azanha, Vilarinho do Bairro",,,Azanha,Vilarinho do Bairro,,,Portugal,,,,,,,,,,,,,
1,1570-10-06,1570-10-06,Azebra,Azebra,,,Azebra,,,,Portugal,,,,,,,,,,,,,
1,1742-10-01,1742-10-01,Azedo,Azedo,,,Azedo,,,,Portugal,,,,,,,,,,,,,
