gml_id,text,sourceOfNa
PT.GN.112595,Palma,DGT
PT.GN.112596,Pinhal de Cima,DGT
PT.GN.112597,Alfarim,DGT
PT.GN.112598,Venda Nova,DGT
PT.GN.112599,Charneca da Cotovia,DGT
PT.GN.112600,Aiana,DGT
PT.GN.112601,Carrasqueira,DGT
PT.GN.112602,São Cristóvão,DGT
PT.GN.112603,Alto das Vinhas,DGT
PT.GN.112604,Aldeias de Montoito,DGT
PT.GN.112605,Vale da Rasca,DGT
PT.GN.112606,Lagoa de Albufeira,DGT
PT.GN.112607,Montoito,DGT
PT.GN.112608,Aldeia de Irmãos,DGT
PT.GN.112609,Praias do Sado,DGT
PT.GN.112610,Vinha da Sardinha,DGT
PT.GN.112611,Santo Ovídio,DGT
PT.GN.112612,Vila Nogueira de Azeitão,DGT
PT.GN.112613,Aldeia Grande,DGT
PT.GN.112614,Manteigada,DGT
PT.GN.112615,Casebres,DGT
PT.GN.112616,Vila Fresca de Azeitão,DGT
PT.GN.112617,Grelhal,DGT
PT.GN.112618,Setúbal,DGT
PT.GN.112619,Valverde,DGT
PT.GN.112620,Vendas de Azeitão,DGT
PT.GN.112621,Cabeça de Carneiro,DGT
PT.GN.112622,Casas Novas,DGT
PT.GN.112623,Choilo,DGT
PT.GN.112624,Casal de Bolinhos,DGT
PT.GN.112625,Alto da Guerra,DGT
PT.GN.112626,Escoural,DGT
PT.GN.112627,Poço de Mouro,DGT
PT.GN.112628,Brejos de Canes,DGT
PT.GN.112629,Salmoura,DGT
PT.GN.112630,Quinta da Amizade,DGT
PT.GN.112631,Brejos de Azeitão,DGT
PT.GN.112632,Montes Juntos,DGT
PT.GN.112633,VALE DE CHOUPOS,DGT
PT.GN.112634,Aldeia da Venda,DGT
PT.GN.112635,Serralheira,DGT
PT.GN.112636,Pontes,DGT
PT.GN.112637,Vale Ana Gomes,DGT
PT.GN.112638,Pinhal Negreiros,DGT
PT.GN.112639,Pias,DGT
PT.GN.112640,Brejoeira,DGT
PT.GN.112641,Brejos de Clérigo,DGT
PT.GN.112642,Barris,DGT
PT.GN.112643,Padeiras,DGT
PT.GN.112644,Courelas da Brava,DGT
PT.GN.112645,Mira Ventos,DGT
PT.GN.112646,Baixa de Palmela,DGT
PT.GN.112647,Boa Água,DGT
PT.GN.112648,Pinhal do General,DGT
PT.GN.112649,Pinhal do General,DGT
PT.GN.112650,Casal do Sapo,DGT
PT.GN.112651,Gâmbia,DGT
PT.GN.112652,Cabanas,DGT
PT.GN.112653,Aldeia de Marmelos,DGT
PT.GN.112654,Quinta do Anjo,DGT
PT.GN.112655,Portal Branco,DGT
PT.GN.112656,Golfe do Montado,DGT
PT.GN.112657,Algeruz,DGT
PT.GN.112658,Algeruz Gare,DGT
PT.GN.112659,Nossa Senhora de Guadalupe,DGT
PT.GN.112660,Bairro do Padre Nabeto,DGT
PT.GN.112661,Aldeia de Ferreira,DGT
PT.GN.112662,Fernão Ferro,DGT
PT.GN.112663,Évora,DGT
PT.GN.112664,Vale da Abrunheira,DGT
PT.GN.112665,Brejo do Assa,DGT
PT.GN.112666,Quinta do Conde,DGT
PT.GN.112667,Nossa Senhora de Machede,DGT
PT.GN.112668,Aires,DGT
PT.GN.112669,Carvalhos,DGT
PT.GN.112670,Palmela,DGT
PT.GN.112671,Vila Amélia,DGT
PT.GN.112672,Redondos,DGT
PT.GN.112673,Lobateira,DGT
PT.GN.112674,Fonte da Telha,DGT
PT.GN.112675,Cabeço Velhinho,DGT
PT.GN.112676,Palmela Gare,DGT
PT.GN.112677,São Sebastião da Giesteira,DGT
PT.GN.112678,Santa Suzana,DGT
PT.GN.112679,Volta da Pedra,DGT
PT.GN.112680,Samouco,DGT
PT.GN.112681,Serralheiras,DGT
PT.GN.112682,Pegarias,DGT
