count,date_in,date_max,naturalidade,normalizada,geocoder,id,address,city,country,importance,class,type,latitude,longitude,distance
1,1734-10-01,1734-10-01,São Vicente de Távora,São Vicente de Távora,osm,3041509739.0,"Távora (São Vicente), Arcos de Valdevez, Viana do Castelo, Portugal",Arcos de Valdevez,Portugal,0.5876412227802594,place,village,41.8211906,-8.4691541,179.25251841586487
1,1906-10-15,1906-10-15,"São Vicente do Bico, Amares","São Vicente do Bico, Amares",,,,,,,,,,,
1,1749-10-01,1749-10-01,São Vicente do Irivo,São Vicente do Irivo,,,,,,,,,,,
1,1786-10-00,1786-10-00,"São Vicente do Louredo, Feira","São Vicente do Louredo, Feira",osm,8138524423.0,"São Vicente, Lobão, Gião, Louredo e Guisande, Santa Maria da Feira, Aveiro, Portugal",Santa Maria da Feira,Portugal,0.75,place,hamlet,40.9804472,-8.4596755,85.88871735017429
1,1913-07-19,1913-07-19,"São Vicente, Abrantes","São Vicente, Abrantes",osm,6457258.0,"São Vicente, Abrantes, Santarém, Portugal",Abrantes,Portugal,0.5893549821575415,boundary,historic,39.5059814,-8.213474522908882,79.97740331635458
1,1904-10-03,1904-10-03,"São Vicente, Felgueiras","São Vicente, Felgueiras",,,,,,,,,,,
1,1877-10-03,1877-10-03,"São Vicente, Funchal, Ilha da Madeira","São Vicente, Funchal, Ilha da Madeira",osm,9900399.0,"Zona de Proteção Especial do Maciço Montanhoso Oriental da Ilha da Madeira, Funchal, Santa Cruz, Madeira, Portugal",Funchal,Portugal,0.5449999999999999,boundary,protected_area,32.744129900000004,-16.93768509663905,1124.8192860028394
1,1902-10-04,1902-10-04,"São Vicente, Funchal, Madeira","São Vicente, Funchal, Madeira",osm,9900399.0,"Zona de Proteção Especial do Maciço Montanhoso Oriental da Ilha da Madeira, Funchal, Santa Cruz, Madeira, Portugal",Funchal,Portugal,0.345,boundary,protected_area,32.744129900000004,-16.93768509663905,1124.8192860028394
1,1764-10-01,1764-10-01,"São Vicente, Galafura","São Vicente, Galafura",,,,,,,,,,,
1,1756-02-16,1756-02-16,"São Vicente, Guimarães","São Vicente, Guimarães",,,,,,,,,,,
1,1765-10-01,1765-10-01,"São Vicente, Lafões","São Vicente, Lafões",osm,8412541247.0,"São Vicente, São Vicente de Lafões, Oliveira de Frades, São João da Serra, Viseu, Portugal",Oliveira de Frades,Portugal,0.55,place,hamlet,40.7222082,-8.1620878,61.38962326097944
1,1875-10-14,1875-10-14,"São Vicente, Peso da Régua","São Vicente, Peso da Régua",,,,,,,,,,,
1,1907-10-22,1907-10-22,"São Vicente, Porto","São Vicente, Porto",osm,5928163.0,"Termas de São Vicente, Penafiel, Portela, Porto, PT-13, Portugal",Penafiel,Portugal,0.5535246308816305,boundary,administrative,41.112466350000005,-8.299205317667987,101.07313247328304
1,1781-11-23,1781-11-23,"São Vicente, Sousa","São Vicente, Sousa",osm,5008782683.0,"São Vicente, Sousa, Sousa, Região Geográfica Imediata de Sousa, Região Metropolitana de Sousa, Região Geográfica Intermediária de Sousa-Cajazeiras, Paraíba, Região Nordeste, Brasil",Sousa,Brasil,0.56,place,hamlet,-6.6189118,-38.3311321,6023.617898473625
1,1881-10-15,1881-10-15,"São Vicente, Viseu","São Vicente, Viseu",osm,8412541247.0,"São Vicente, São Vicente de Lafões, Oliveira de Frades, São João da Serra, Viseu, Portugal",Oliveira de Frades,Portugal,0.56,place,hamlet,40.7222082,-8.1620878,61.38962326097944
1,1639-11-26,1639-11-26,São Viente de Paçô,São Viente de Paçô,,,,,,,,,,,
1,1598-11-03,1598-11-03,São Vila Viçosa,São Vila Viçosa,osm,6440079.0,"São Bartolomeu, Nossa Senhora da Conceição e São Bartolomeu, Vila Viçosa, Évora, Portugal",Vila Viçosa,Portugal,0.425,boundary,historic,38.7789174,-7.419140241261658,180.7048728413781
1,1820-06-10,1820-06-10,São Vincente da Beira,São Vincente da Beira,,,,,,,,,,,
1,1909-10-07,1909-10-07,"São Vítor, Braga","São Vítor, Braga",osm,4135211.0,"São Vítor, Braga, Braga, Portugal",Braga,Portugal,0.3954406477123641,boundary,administrative,41.5527239,-8.4135068,149.40163857666647
1,1710-01-30,1710-01-30,São joaninho,São joaninho,osm,6338928.0,"São Joaninho, Castro Daire, Viseu, Portugal",Castro Daire,Portugal,0.4600583840406885,boundary,administrative,40.914574,-7.8627488,91.87908387141036
1,1820-11-10,1820-11-10,SãoFelix,SãoFelix,,,,,,,,,,,
1,1883-10-15,1883-10-15,SãoGonçalo,SãoGonçalo,,,,,,,,,,,
1,1757-10-01,1757-10-01,"SãoMamede, Lisboa","SãoMamede, Lisboa",,,,,,,,,,,
