count,date_min,date_max,naturalidade,normalizada
2,1550-05-21,1813-10-15,"Figueiró, Viseu","Figueiró, Viseu"
2,1594-04-03,1643-10-14,Figueró dos Vinhos,Figueró dos Vinhos
2,1752-10-26,1800-10-02,Fogueira,Fogueira
2,1812-12-14,1814-10-21,"Fogueira, Aveiro","Fogueira, Aveiro"
2,1738-11-10,1752-06-02,Fojo,Fojo
2,1827-10-17,1836-10-15,Folgosa do Douro,Folgosa do Douro
2,1890-10-15,1894-10-30,"Folhadal, Nelas","Folhadal, Nelas"
2,1704-10-01,1708-10-01,Fonte Chã,Fonte Chã
2,1639-10-15,1721-10-01,Fonte da Arcada,Fonte da Arcada
2,1750-12-16,1815-10-30,Fontela,Fontela
2,1651-11-03,1728-10-01,Fontoura,Fontoura
2,1557-10-01,1558-07-09,Fornos de Azurara,Fornos de Azurara
2,1612-10-29,1743-10-01,Foz,Foz
2,1605-10-05,1618-10-15,Foz da Arouce,Foz da Arouce
2,1905-06-27,1905-10-03,Foz do Douro,Foz do Douro
2,1757-10-01,1904-10-15,Fradelos,Fradelos
2,1713-12-22,1789-10-20,Franco,Franco
2,1723-10-01,1765-10-01,"Franco, Óbidos","Franco, Óbidos"
2,1765-10-01,1907-10-15,Franzinhal,Franzinhal
2,1670-01-12,1762-10-01,Frazoeiro,Frazoeiro
2,1649-10-14,1856-10-21,Freches,Freches
2,1746-10-01,1770-10-01,Freiria,Freiria
2,1689-10-01,1724-11-13,Freixedo do Torrão,Freixedo do Torrão
2,1674-10-01,1845-10-10,Freixo de Espada a Cinta,Freixo de Espada a Cinta
2,1586-11-09,1590-10-26,Freixo de Espada-a-Cinta,Freixo de Espada-a-Cinta
2,1765-10-01,1765-10-01,Freixo de Espada-à-Cinta,Freixo de Espada-à-Cinta
2,1709-12-03,1766-10-01,Friamunde,Friamunde
2,1680-10-15,1756-10-01,Frontelheiro,Frontelheiro
2,1630-10-01,1677-10-15,Fráguas,Fráguas
2,1753-10-01,1765-10-01,Fuinhas,Fuinhas
2,1722-10-27,1756-01-15,Furadouro,Furadouro
2,1837-10-31,1841-10-06,"Fão, Braga","Fão, Braga"
2,1741-10-27,1753-10-30,Gabrielos,Gabrielos
2,1635-10-20,1840-10-23,Gafanhão,Gafanhão
2,1537-00-00,1735-10-01,Gaia,Gaia
2,1879-10-02,1886-06-11,Gandara de Mortágua,Gandara de Mortágua
2,1640-10-22,1749-12-05,Garfe,Garfe
2,1900-10-10,1905-10-03,Gatão,Gatão
2,1731-10-01,1820-11-04,Gatões,Gatões
2,1752-10-01,1756-10-01,Gavinhos de Cima,Gavinhos de Cima
2,1869-10-02,1912-08-03,"Gavião, Portalegre","Gavião, Portalegre"
2,1672-10-01,1687-10-01,Gearia,Gearia
2,1662-10-25,1685-10-01,Geria,Geria
2,1838-10-31,1840-10-31,Gervide,Gervide
2,1574-10-01,1704-10-01,Gerás do Lima,Gerás do Lima
2,1696-03-17,1697-04-17,Giesta,Giesta
2,1709-10-01,1761-10-01,Gimonde,Gimonde
2,1827-10-02,1864-10-11,Girabalhos,Girabalhos
2,1592-10-23,1678-01-01,"Goa, India","Goa, India"
2,1785-10-31,1786-10-21,"Gogim, Lamego","Gogim, Lamego"
2,1773-07-14,1875-10-14,Gondar,Gondar
2,1840-10-31,1848-10-07,Gondelim,Gondelim
2,1729-10-27,1848-10-07,Gondolim,Gondolim
2,1616-10-20,1712-10-01,Gondomil,Gondomil
2,1593-10-16,1749-10-01,"Gonçalo, Guarda","Gonçalo, Guarda"
2,1801-10-03,1814-10-08,Gosendo,Gosendo
2,1552-10-00,1806-10-15,Goujim,Goujim
2,1843-10-06,1879-10-02,"Goujoim, Viseu","Goujoim, Viseu"
2,1725-10-01,1758-10-01,Gouveias,Gouveias
2,1720-10-01,1822-10-04,Gouvães,Gouvães
2,1694-10-01,1694-10-01,Gradir,Gradir
2,1720-10-01,1756-02-04,Gradíssimo,Gradíssimo
2,1762-10-01,1764-10-01,"Gralhas, Chaves","Gralhas, Chaves"
2,1827-10-19,1872-10-04,Granja de Alijó,Granja de Alijó
2,1724-01-02,1823-10-04,Granja de Semide,Granja de Semide
2,1815-10-14,1819-06-23,"Granja do Douro, Vila Real","Granja do Douro, Vila Real"
2,1758-10-01,1800-10-09,Granja do Tedo,Granja do Tedo
2,1736-11-29,1739-10-01,"Granja, Alfarelos","Granja, Alfarelos"
2,1605-10-15,1783-07-08,"Granja, Montemor-o-Velho","Granja, Montemor-o-Velho"
2,1738-10-01,1740-10-01,Grijó de Parada,Grijó de Parada
2,1790-10-26,1839-10-23,Grijó de Vale Benfeito,Grijó de Vale Benfeito
2,1888-10-05,1897-06-16,"Grijó, Vila Nova de Gaia","Grijó, Vila Nova de Gaia"
2,1750-10-01,1870-10-14,Grilo,Grilo
2,1762-10-01,1769-07-29,"Guardão, Dornes","Guardão, Dornes"
2,1796-10-03,1814-10-15,"Guarita, Viseu","Guarita, Viseu"
2,1886-06-28,1898-10-14,Gueral,Gueral
2,1696-10-01,1732-10-01,Guerreira,Guerreira
2,1727-10-01,1818-10-31,Guisandaria,Guisandaria
2,1743-10-01,1892-10-12,"Gumiei, Ribafeita","Gumiei, Ribafeita"
2,1727-10-01,1816-10-29,Génova,Génova
2,1621-01-14,1721-10-01,"Génova, Itália","Génova, Itália"
2,1849-10-30,1858-10-14,"Gôa, Índia","Gôa, Índia"
2,1815-10-31,1852-10-08,Hombres,Hombres
2,1801-10-02,1801-10-12,Honra de Escalhão,Honra de Escalhão
2,1805-10-31,1877-10-13,"Horta, Ilha do Faial, Madeira","Horta, Ilha do Faial, Madeira"
2,1744-12-12,1888-07-02,Idães,Idães
2,1764-10-01,1766-10-01,"Idães, Guimarães","Idães, Guimarães"
2,1752-10-30,1758-01-12,Igreja,Igreja
2,1820-10-30,1820-11-08,"Iguape, Baía, Brasil","Iguape, Baía, Brasil"
2,1844-10-21,1852-10-28,"Iguassú, Brasil","Iguassú, Brasil"
2,1784-10-31,1785-10-21,"Ilgares, Moncorvo","Ilgares, Moncorvo"
2,1764-10-01,1888-10-30,Ilha das Flores,Ilha das Flores
2,1895-10-17,1898-06-16,"Ilha de Santo Antão, Cabo Verde","Ilha de Santo Antão, Cabo Verde"
2,1885-10-15,1906-10-08,"Ilha de São Nicolau, Cabo Verde","Ilha de São Nicolau, Cabo Verde"
2,1905-10-07,1908-10-02,"Ilha de São Vicente, Cabo Verde","Ilha de São Vicente, Cabo Verde"
2,1725-10-01,1773-10-19,"Ilha do Faial, Madeira","Ilha do Faial, Madeira"
2,1607-10-05,1767-10-01,Ilha do Funchal,Ilha do Funchal
2,1740-10-01,1743-12-01,"Ilha do Funchal, Madeira","Ilha do Funchal, Madeira"
2,1704-01-13,1730-10-01,Infias,Infias
2,1820-11-14,1840-10-13,Jafafe,Jafafe
2,1800-10-14,1879-10-14,Jou,Jou
2,1715-10-01,1824-10-11,Junceira,Junceira
2,1863-06-16,1908-10-05,"Justes, Vila Real","Justes, Vila Real"
2,1721-10-01,1874-10-02,Labruge,Labruge
2,1595-10-09,1597-10-16,Ladairo,Ladairo
2,1836-10-15,1851-10-25,Ladeira,Ladeira
2,1590-10-05,1825-10-03,Ladário,Ladário
2,1784-10-20,1787-10-31,"Lageosa, Guarda","Lageosa, Guarda"
2,1856-01-05,1857-10-15,"Lageosa, Lagos da Beira","Lageosa, Lagos da Beira"
2,1706-10-01,1707-03-24,Lagiosa,Lagiosa
2,1873-10-10,1887-10-12,"Lagoa, Ponta Delgada","Lagoa, Ponta Delgada"
2,1627-11-03,1630-11-26,Lagobom,Lagobom
2,1742-05-28,1747-12-04,Lama Longa,Lama Longa
2,1761-10-01,1766-10-01,"Lama, Barcelos","Lama, Barcelos"
2,1761-10-01,1782-10-12,"Lamas, Miranda","Lamas, Miranda"
2,1740-01-02,1840-10-27,"Lamas, Podences","Lamas, Podences"
2,1735-10-01,1755-10-25,Lamegal,Lamegal
2,1726-10-01,1766-10-01,Lameira de São Pedro,Lameira de São Pedro
2,1741-10-01,1755-10-01,Lameiras,Lameiras
2,1785-10-31,1786-10-07,"Lameiras, Cinco Velas","Lameiras, Cinco Velas"
2,1761-10-01,1894-10-11,Lamelas,Lamelas
2,1774-00-00,1898-10-12,"Lanhelas, Caminha","Lanhelas, Caminha"
2,1694-10-01,1730-12-01,Laranjeira,Laranjeira
2,1854-07-12,1856-10-16,"Lardosa, Castelo Branco","Lardosa, Castelo Branco"
2,1762-12-01,1762-12-01,"Lares, Montemor-o-Velho","Lares, Montemor-o-Velho"
2,1727-10-01,1772-12-01,Larinho,Larinho
2,1588-10-28,1588-11-12,Legõis,Legõis
2,1753-10-01,1753-10-01,Leiria ou Caria,Leiria ou Caria
2,1748-10-01,1758-10-01,Leis,Leis
2,1665-10-05,1695-10-01,"Leça, Matosinhos","Leça, Matosinhos"
2,1720-10-01,1751-10-01,Ligares,Ligares
2,1686-10-01,1757-10-01,"Lisboa, Belém","Lisboa, Belém"
2,1753-12-11,1761-01-15,"Lixa, Rua","Lixa, Rua"
2,1794-10-25,1869-10-13,"Lobão, Viseu","Lobão, Viseu"
2,1557-07-30,1557-07-30,Loios,Loios
2,1746-10-01,1822-10-29,Loivos do Monte,Loivos do Monte
2,1728-12-11,1765-10-01,Lordelo de Ouro,Lordelo de Ouro
2,1598-06-26,1772-10-01,"Loulé, Algarve","Loulé, Algarve"
2,1655-10-02,1815-10-09,Loure,Loure
2,1734-10-01,1849-06-04,Loureira,Loureira
2,1756-10-01,1762-10-01,Lourentim,Lourentim
2,1553-10-00,1762-01-01,"Lourentim, Penaguião","Lourentim, Penaguião"
2,1881-10-14,1890-10-27,Louriçal do Campo,Louriçal do Campo
2,1826-10-26,1847-10-25,"Lousã, Coimbra","Lousã, Coimbra"
2,1582-10-19,1597-10-13,Lovanha,Lovanha
2,1572-10-01,1695-10-01,Lubrigos,Lubrigos
2,1750-10-01,1755-10-01,Lufrei,Lufrei
2,1697-10-29,1732-12-12,Lumiares,Lumiares
2,1597-12-17,1721-10-01,Luzinde,Luzinde
2,1816-10-26,1842-06-10,"Macau, China","Macau, China"
2,1686-10-01,1765-11-01,Maceiradão,Maceiradão
2,1767-10-01,1788-10-20,Machede,Machede
2,1776-10-01,1894-10-15,Machico,Machico
2,1718-10-01,1737-06-21,Macieira de Sarnes,Macieira de Sarnes
2,1595-11-21,1751-10-01,Macinhata,Macinhata
2,1718-10-01,1760-12-15,Macinhata de Seixas,Macinhata de Seixas
2,1892-10-14,1897-10-13,"Madalena, Paredes","Madalena, Paredes"
2,1643-10-20,1908-10-05,Madeira,Madeira
2,1860-10-02,1905-10-06,Madeirã,Madeirã
2,1742-10-01,1843-10-11,Magarelas,Magarelas
2,1750-10-01,1768-10-01,Magueija,Magueija
2,1678-10-01,1684-10-01,"Maia, Porto","Maia, Porto"
2,1600-11-08,1730-10-01,Malhou,Malhou
2,1736-11-23,1768-10-01,"Malpica, Castelo Branco","Malpica, Castelo Branco"
2,1672-10-01,1677-04-03,Malta,Malta
2,1735-11-14,1744-06-18,Mamodeiro,Mamodeiro
2,1729-02-11,1750-10-01,Manhente,Manhente
2,1793-10-18,1793-10-18,"Maragogipi, Baía, Brasil","Maragogipi, Baía, Brasil"
2,1835-10-16,1847-10-25,Maranhao,Maranhao
2,1743-10-01,1845-10-14,Marco,Marco
2,1695-10-01,1867-10-03,Marco de Canavezes,Marco de Canavezes
2,1763-10-01,1849-07-05,"Marco, Porto","Marco, Porto"
2,1901-10-05,1904-06-13,"Margão, Goa","Margão, Goa"
2,1842-10-27,1908-10-02,"Margão, India","Margão, India"
2,1601-02-23,1818-10-31,Marinha,Marinha
2,1728-10-01,1756-10-01,Marmeleiro,Marmeleiro
2,1751-10-01,1752-10-01,Marmelos,Marmelos
2,1893-10-14,1902-10-09,Marrazes,Marrazes
2,1764-10-01,1775-10-06,Martim,Martim
2,1729-10-01,1764-10-01,Martinchel,Martinchel
2,1748-10-01,1748-10-29,Marvila,Marvila
2,1647-01-02,1680-10-01,Mascarenhas,Mascarenhas
2,1885-10-15,1897-10-13,Mata dos Lobos,Mata dos Lobos
2,1860-10-04,1870-10-03,"Mata, Cabeçudo","Mata, Cabeçudo"
2,1868-10-03,1873-10-02,"Mata, freg Cabeçudo, c Sertã","Mata, freg Cabeçudo, c Sertã"
2,1737-10-01,1744-10-01,Mataduços,Mataduços
2,1821-10-23,1892-10-15,Matemática,Matemática
2,1748-10-01,1845-10-17,Matos,Matos
2,1671-10-17,1852-10-27,Maxial,Maxial
2,1673-10-15,1768-10-01,Mazarefes,Mazarefes
2,1722-10-01,1736-10-01,Maçal do Chão,Maçal do Chão
2,1723-11-03,1761-11-15,Maçãs de Caminho,Maçãs de Caminho
2,1741-10-01,1764-10-01,Maçãs de DMaria,Maçãs de DMaria
2,1736-10-01,1766-10-01,Meda,Meda
2,1767-10-01,1900-10-03,Meimedo,Meimedo
2,1796-10-08,1895-10-10,"Meinedo, Lousada","Meinedo, Lousada"
2,1714-10-01,1715-04-10,Melhada,Melhada
2,1821-10-31,1821-11-06,Melides,Melides
2,1902-10-08,1902-10-08,"Melo, Gouveia","Melo, Gouveia"
2,1627-11-02,1760-10-01,"Melres, Porto","Melres, Porto"
2,1748-10-01,1748-11-08,Mesejana,Mesejana
2,1870-10-12,1893-10-12,Mesquinhata,Mesquinhata
2,1671-10-01,1842-10-05,Mexilhoeira da Carregação,Mexilhoeira da Carregação
2,1620-10-09,1769-10-01,Mileu,Mileu
2,1736-02-11,1741-12-16,Milheiros de Poiares,Milheiros de Poiares
2,1756-10-01,1839-10-18,"Milheirós, Poiares","Milheirós, Poiares"
2,1786-10-16,1786-10-16,Minas de Nossa Senhora da Natividade,Minas de Nossa Senhora da Natividade
2,1759-10-01,1760-10-01,Minas de Vila Rica,Minas de Vila Rica
2,1730-06-01,1745-10-01,Minas do Rio das Mortes,Minas do Rio das Mortes
2,1727-11-26,1733-10-01,"Minas, Rio de Janeiro","Minas, Rio de Janeiro"
2,1659-11-10,1659-11-10,"Mioma, Penalva","Mioma, Penalva"
2,1674-10-01,1674-10-01,Miomais,Miomais
2,1708-10-01,1730-12-01,Miragaia,Miragaia
2,1573-10-03,1579-12-02,Miranda de Cavaleiros,Miranda de Cavaleiros
2,1677-10-01,1703-10-01,Miôma,Miôma
2,1745-10-01,1747-10-01,Moinho do Almoxarife,Moinho do Almoxarife
2,1707-04-06,1725-10-01,Moinhos,Moinhos
2,1818-11-13,1858-10-13,"Moinhos, Viseu","Moinhos, Viseu"
2,1873-10-03,1899-10-02,Moncarapacho,Moncarapacho
2,1734-10-01,1865-10-15,Moncarrapacho,Moncarrapacho
2,1687-10-01,1761-10-01,"Monchique, Algarve","Monchique, Algarve"
2,1850-10-19,1869-10-15,"Monchique, Faro","Monchique, Faro"
2,1766-10-01,1908-10-02,"Moncorvo, Lousã","Moncorvo, Lousã"
2,1781-10-00,1876-10-15,Mondim da Beira,Mondim da Beira
2,1763-10-01,1876-10-12,Mondim de Bastos,Mondim de Bastos
2,1789-10-23,1789-10-30,"Mondim, Lamego","Mondim, Lamego"
2,1745-10-01,1766-10-01,Mondão,Mondão
2,1805-10-23,1847-10-30,"Mondão, Viseu","Mondão, Viseu"
2,1693-10-01,1697-10-01,Monsarrás,Monsarrás
2,1757-10-01,1757-10-01,Monsul,Monsul
2,1769-12-01,1904-10-07,Monsão,Monsão
2,1635-10-26,1767-10-01,Monte Alegre,Monte Alegre
2,1824-10-15,1899-10-13,Monte Cordova,Monte Cordova
2,1733-10-01,1907-10-02,Montelavar,Montelavar
2,1620-10-12,1651-01-22,Montemo-o-Velho,Montemo-o-Velho
2,1719-10-01,1762-10-01,Montemor o Velho,Montemor o Velho
2,1624-10-30,1679-10-01,"Montemor, o, Novo","Montemor, o, Novo"
2,1764-06-16,1803-06-25,Montemor- o- Novo,Montemor- o- Novo
2,1836-10-31,1841-10-12,Montevideu,Montevideu
2,1623-10-14,1736-10-01,Monção ou Monsanto,Monção ou Monsanto
2,1861-10-03,1887-10-03,"Mora, Évora","Mora, Évora"
2,1794-10-13,1885-10-02,Moreira de Santar,Moreira de Santar
2,1797-10-09,1908-10-02,"Mortágua, Viseu","Mortágua, Viseu"
2,1809-11-15,1812-10-08,"Moruge, Guarda","Moruge, Guarda"
2,1861-07-05,1909-10-13,Mossamedes,Mossamedes
2,1679-12-01,1762-10-01,"Mosteirinho, Viseu","Mosteirinho, Viseu"
2,1725-10-01,1746-06-18,Mosteiro de Fráguas,Mosteiro de Fráguas
2,1785-10-31,1813-10-25,"Mosteiro, Feira","Mosteiro, Feira"
2,1663-01-29,1736-10-01,Mourao,Mourao
2,1715-10-29,1729-10-01,Moures,Moures
2,1758-10-01,1768-10-01,Mouros,Mouros
2,1756-10-01,1798-10-15,Moutedo,Moutedo
2,1764-10-01,1815-10-24,Moutinhal,Moutinhal
2,1724-10-01,1728-10-01,Mucela,Mucela
2,1814-10-29,1820-10-24,"Muchos, Viseu","Muchos, Viseu"
2,1778-11-21,1875-10-14,Muna,Muna
2,1729-11-23,1763-12-01,Muna de Besteiros,Muna de Besteiros
2,1780-12-22,1803-10-15,"Muna, Viseu","Muna, Viseu"
2,1753-10-01,1826-10-10,Murça de Panoia,Murça de Panoia
2,1760-10-01,1763-10-01,"Murça, Panóia","Murça, Panóia"
2,1761-10-01,1764-10-01,"Mós, Freixo de Numão","Mós, Freixo de Numão"
2,1765-10-01,1765-12-01,"Mós, Pinhel","Mós, Pinhel"
2,1763-10-01,1765-10-01,"Mões, Viseu","Mões, Viseu"
2,1762-10-01,1768-10-01,"Múceres, Tondela","Múceres, Tondela"
2,1669-10-15,1756-10-01,Nabaínhos,Nabaínhos
2,1607-10-17,1762-10-01,Nagosela,Nagosela
2,1551-00-00,1610-07-01,Navarra,Navarra
2,1714-10-01,1725-10-01,Nave,Nave
2,1905-10-07,1908-10-08,Nave de Haver,Nave de Haver
2,1612-10-06,1614-10-02,Negosela,Negosela
2,1638-10-11,1644-10-15,Neiva,Neiva
2,1746-10-01,1751-10-01,Nesperido,Nesperido
2,1837-10-09,1885-10-14,Nine,Nine
2,1637-10-13,1764-10-01,Nogosa,Nogosa
2,1764-10-01,1912-06-24,Nogueira de Cravo,Nogueira de Cravo
2,1761-10-01,1761-10-01,Nogueira de Sendim,Nogueira de Sendim
2,1746-11-09,1762-10-01,Nogueiró,Nogueiró
2,1730-10-01,1732-10-01,Nossa Senhora da Guia,Nossa Senhora da Guia
2,1753-11-23,1830-10-07,Nossa Senhora da Nazaré,Nossa Senhora da Nazaré
2,1685-10-01,1733-10-01,Nossa Senhora do Bom Despacho,Nossa Senhora do Bom Despacho
2,1758-10-01,1772-12-03,"Nova Colónia do Sacramento, Brasil","Nova Colónia do Sacramento, Brasil"
2,1749-10-01,1776-11-22,"Nova Colónia, Brasil","Nova Colónia, Brasil"
2,1853-10-22,1869-10-02,"Oca, Aveiro","Oca, Aveiro"
2,1727-11-22,1761-10-01,Ocanha,Ocanha
2,1631-03-08,1737-11-26,Oiã,Oiã
2,1630-10-07,1763-10-01,"Olalhas, Tomar","Olalhas, Tomar"
2,1695-10-01,1703-10-01,Olinda,Olinda
2,1688-01-07,1729-01-09,"Olinda, Pernambuco","Olinda, Pernambuco"
2,1625-10-03,1847-10-16,Olival,Olival
2,1774-10-25,1807-10-12,"Olival, Feira","Olival, Feira"
2,1730-11-23,1886-10-02,Oliveira de Cunhedo,Oliveira de Cunhedo
2,1765-10-01,1908-10-13,Oliveira de Fazemão,Oliveira de Fazemão
2,1688-10-01,1812-12-02,Oliveira do Cunhedo,Oliveira do Cunhedo
2,1640-10-23,1696-10-22,Oliveira do Sul,Oliveira do Sul
2,1796-10-05,1861-10-04,"Oliveira, Viseu","Oliveira, Viseu"
2,1728-10-01,1755-10-01,Orbacém,Orbacém
2,1689-10-01,1730-10-01,Ornelas,Ornelas
2,1702-10-30,1755-10-01,Oronha,Oronha
2,1744-10-01,1744-11-26,Ortigueira,Ortigueira
2,1819-10-30,1822-07-05,Ouca,Ouca
2,1662-01-10,1673-11-20,"Ourentã, Cantanhede","Ourentã, Cantanhede"
2,1810-05-30,1848-10-03,"Ourentã, Coimbra","Ourentã, Coimbra"
2,1719-10-01,1755-10-01,Ourosinho,Ourosinho
2,1761-10-01,1763-10-01,"Ourém, Aldeia da Cruz","Ourém, Aldeia da Cruz"
2,1698-10-01,1761-10-01,"Ourém, Alvega","Ourém, Alvega"
2,1711-12-01,1714-10-01,Outeiro da Moita Santa,Outeiro da Moita Santa
2,1800-10-11,1842-10-10,"Outeiro, Bragança","Outeiro, Bragança"
2,1763-10-01,1803-10-15,"Outeiro, Viseu","Outeiro, Viseu"
2,1660-10-15,1711-10-01,POrto,POrto
2,1720-11-06,1721-11-06,Palaçoulo,Palaçoulo
2,1704-11-28,1741-10-24,Palheiros,Palheiros
2,1765-10-01,1910-10-10,"Palmeira, Braga","Palmeira, Braga"
2,1754-10-01,1755-10-01,Pampilhal,Pampilhal
2,1735-10-01,1764-10-01,"Pampilhal, Sertã","Pampilhal, Sertã"
2,1800-10-03,1814-10-27,"Pampilhosa, Arganil","Pampilhosa, Arganil"
2,1758-10-01,1858-10-15,"Pampilhosa, Guarda","Pampilhosa, Guarda"
2,1760-10-01,1763-11-01,"Panascoso, Abrantes","Panascoso, Abrantes"
2,1886-11-03,1895-10-17,Pangim,Pangim
2,1604-11-02,1806-10-04,Paparia,Paparia
2,1711-10-01,1780-10-30,Parada de Bouro,Parada de Bouro
2,1758-01-26,1762-10-01,Parada de Castelo Mendo,Parada de Castelo Mendo
2,1686-10-01,1722-10-01,Parada de Gonta,Parada de Gonta
2,1765-10-01,1865-06-05,"Paradela, Aveiro","Paradela, Aveiro"
2,1764-10-01,1765-10-01,"Paradela, Barcelos","Paradela, Barcelos"
2,1733-10-01,1756-10-01,Paradinha Nova,Paradinha Nova
2,1629-10-02,1783-10-29,"Paraiba, Brasil","Paraiba, Brasil"
2,1762-10-01,1841-10-30,"Paranho, Viseu","Paranho, Viseu"
2,1693-10-01,1734-10-27,Paranhos de Baixo,Paranhos de Baixo
2,1762-10-01,1762-10-01,"Paranhos, Besteiros","Paranhos, Besteiros"
2,1886-10-02,1887-10-03,"Paranhos, Seia","Paranhos, Seia"
2,1725-10-01,1750-10-01,Parceiros,Parceiros
2,1689-10-01,1695-10-01,Pardelhas,Pardelhas
2,1748-10-01,1764-10-01,Pardieiros,Pardieiros
2,1764-10-01,1812-10-31,Paredes de Arcã,Paredes de Arcã
2,1765-10-01,1815-05-30,Paredes de Arcão,Paredes de Arcão
2,1889-10-31,1890-10-13,Paredes de Viadores,Paredes de Viadores
2,1711-10-01,1712-10-01,Paredes do Coura,Paredes do Coura
2,1857-10-02,1866-06-03,"Paredes, Coimbra","Paredes, Coimbra"
2,1753-10-01,1764-10-01,"Passos, Santa Marinha","Passos, Santa Marinha"
2,1765-10-01,1871-10-06,"Passos, Vila Real","Passos, Vila Real"
2,1745-10-01,1761-01-15,"Paus, São Martinho de Mouros","Paus, São Martinho de Mouros"
2,1733-10-01,1734-10-01,Paço de Outeiro,Paço de Outeiro
2,1732-02-01,1739-04-08,Paço do Outeiro,Paço do Outeiro
2,1813-10-16,1813-10-30,"Paço, Coimbra","Paço, Coimbra"
2,1905-10-03,1913-07-12,Paços Brandão,Paços Brandão
2,1738-10-01,1764-10-01,Paços de Santa Marinha,Paços de Santa Marinha
2,1795-10-07,1801-07-01,"Paúl, Guarda","Paúl, Guarda"
2,1707-10-24,1708-10-01,Pedregais,Pedregais
2,1835-10-06,1873-06-21,Pedrogais,Pedrogais
2,1757-10-01,1758-10-01,Pedrogão do Crato,Pedrogão do Crato
2,1764-10-01,1765-10-01,"Pedrogão, Penamacor","Pedrogão, Penamacor"
2,1760-10-01,1775-10-01,"Pedrogão, Torres Novas","Pedrogão, Torres Novas"
2,1754-10-01,1805-10-11,Pedronhe,Pedronhe
2,1601-10-12,1643-10-28,Pedrógão,Pedrógão
2,1838-10-27,1872-07-15,Pena Maior,Pena Maior
2,1760-01-10,1761-10-01,"Penacova, Guimarães","Penacova, Guimarães"
2,1679-10-15,1681-10-17,Penagarcia,Penagarcia
2,1567-10-01,1761-10-01,"Penaguião, Vila Real","Penaguião, Vila Real"
2,1754-11-13,1777-10-31,"Penajóia, Lamego","Penajóia, Lamego"
2,1778-11-14,1909-10-25,Penalva do Castelo,Penalva do Castelo
2,1720-11-16,1816-10-15,Penedo,Penedo
2,1762-10-01,1765-10-01,"Penude, Lamego","Penude, Lamego"
2,1739-10-01,1744-04-24,Pera de Moço,Pera de Moço
2,1694-10-01,1761-01-15,Peraboa,Peraboa
2,1745-11-16,1765-10-01,Perabôa,Perabôa
2,1695-10-01,1737-10-01,Peredo de Castro Vicente,Peredo de Castro Vicente
2,1757-10-01,1761-10-01,Pereiro de Além,Pereiro de Além
2,1743-11-19,1765-11-01,Perinho,Perinho
2,1780-10-02,1849-10-04,"Pernes, Santarém","Pernes, Santarém"
2,1799-10-10,1802-10-30,Pero Negro,Pero Negro
2,1765-10-01,1815-10-27,Perosinho,Perosinho
2,1772-00-00,1898-10-13,Perre,Perre
2,1764-10-01,1827-10-31,Perrães,Perrães
2,1689-03-30,1689-10-01,Persegueda,Persegueda
2,1694-10-01,1695-10-01,Pesqueira,Pesqueira
2,1869-05-26,1880-10-14,"Pias, Viana do Castelo","Pias, Viana do Castelo"
2,1729-10-01,1776-10-05,Pico dos Regalados,Pico dos Regalados
2,1796-10-31,1844-10-15,"Piedade, Aveiro","Piedade, Aveiro"
2,1761-01-24,1849-10-04,"Pindelo, Viseu","Pindelo, Viseu"
2,1718-10-01,1724-10-01,Pindo,Pindo
2,1845-10-28,1869-10-13,"Pindo, Viseu","Pindo, Viseu"
2,1557-02-28,1734-10-01,Pinelo,Pinelo
2,1765-10-01,1827-10-20,Pinheirinho,Pinheirinho
2,1754-10-01,1755-10-01,Pinheiro Velho,Pinheiro Velho
2,1605-11-19,1610-11-13,Pinheiro d'Ázere,Pinheiro d'Ázere
2,1635-10-17,1675-10-01,Pinheiro Ázere,Pinheiro Ázere
2,1762-10-01,1764-10-01,"Pinheiro, Ourém","Pinheiro, Ourém"
2,1679-10-15,1737-10-01,Pinho,Pinho
2,1719-10-23,1794-10-03,Pinhél,Pinhél
2,1740-11-08,1741-12-23,Pisão,Pisão
2,1778-11-16,1779-10-26,"Pitangui, Minas Gerais, Brasil","Pitangui, Minas Gerais, Brasil"
2,1736-10-01,1893-10-23,Pitões,Pitões
2,1749-10-01,1838-10-09,Pião,Pião
2,1749-12-16,1758-04-07,Poiares do Douro,Poiares do Douro
2,1766-10-01,1774-10-22,"Poiares, Barcelos","Poiares, Barcelos"
2,1837-10-13,1888-10-15,"Poiares, Vila Real","Poiares, Vila Real"
2,1803-10-27,1805-10-14,Pontido,Pontido
2,1784-10-31,1786-10-25,"Portela, Vila Verde dos Francos","Portela, Vila Verde dos Francos"
2,1738-10-01,1835-10-17,Portelo,Portelo
2,1606-03-15,1688-10-01,Portimão,Portimão
2,1785-06-01,1820-11-11,"Porto Alegre, Brasil","Porto Alegre, Brasil"
2,1661-10-14,1723-10-01,Porto de Mos,Porto de Mos
2,1588-12-03,1674-10-23,Porto de Santa Maria,Porto de Santa Maria
2,1693-04-11,1760-10-01,"Porto, Massarelos","Porto, Massarelos"
2,1706-10-01,1754-10-01,Portocarreiro,Portocarreiro
2,1759-10-01,1766-10-11,Portocarrero,Portocarrero
2,1680-10-01,1728-11-12,Possacos,Possacos
2,1744-11-20,1761-10-01,Pousa Flores,Pousa Flores
2,1854-10-19,1855-10-03,Pousafales,Pousafales
2,1887-10-03,1897-10-15,"Povoação, Ilha de São Miguel","Povoação, Ilha de São Miguel"
