count,date_min,date_max,naturalidade,normalizada
1,1822-10-08,1822-10-08,"Folgosa, Lamego","Folgosa, Lamego"
1,1857-10-10,1857-10-10,"Folgosa, Viseu","Folgosa, Viseu"
1,1770-10-01,1770-10-01,Folgosas de Salvador,Folgosas de Salvador
1,1590-10-01,1590-10-01,"Folgosas, Santiago","Folgosas, Santiago"
1,1837-07-05,1837-07-05,Folgoso do Douro,Folgoso do Douro
1,1741-11-27,1741-11-27,Folgues,Folgues
1,1760-10-01,1760-10-01,Folhais,Folhais
1,1817-05-07,1817-05-07,Folhas,Folhas
1,1870-10-12,1870-10-12,Folosa,Folosa
1,1765-10-01,1765-10-01,"Folques, Arganil","Folques, Arganil"
1,1625-10-20,1625-10-20,Font' Arcada,Font' Arcada
1,1884-06-18,1884-06-18,"Font' Arcada, Braga","Font' Arcada, Braga"
1,1806-10-30,1806-10-30,Fontainha,Fontainha
1,1810-02-16,1810-02-16,Fontainhas,Fontainhas
1,1748-10-01,1748-10-01,Fonte,Fonte
1,1865-10-02,1865-10-02,"Fonte Arcada, Braga","Fonte Arcada, Braga"
1,1722-10-01,1722-10-01,"Fonte Arcada, Lanhoso","Fonte Arcada, Lanhoso"
1,1811-10-30,1811-10-30,"Fonte Arcada, Trancoso","Fonte Arcada, Trancoso"
1,1571-10-01,1571-10-01,"Fonte Arcadinha, Aguiar da Beira","Fonte Arcadinha, Aguiar da Beira"
1,1763-12-01,1763-12-01,"Fonte Fria, Matança","Fonte Fria, Matança"
1,1757-10-01,1757-10-01,Fonte Galega,Fonte Galega
1,1761-10-01,1761-10-01,Fonte Maninho,Fonte Maninho
1,1893-10-13,1893-10-13,"Fonte Mercê, Valpaços","Fonte Mercê, Valpaços"
1,1723-12-07,1723-12-07,Fonte da Aldeia,Fonte da Aldeia
1,1852-10-15,1852-10-15,Fonte da Telha,Fonte da Telha
1,1728-10-01,1728-10-01,Fonte da Urge,Fonte da Urge
1,1741-10-26,1741-10-26,Fonte de Aldeia,Fonte de Aldeia
1,1628-11-28,1628-11-28,Fonte de Cima,Fonte de Cima
1,1635-10-19,1635-10-19,Fonte'Arcada,Fonte'Arcada
1,1576-02-28,1576-02-28,Fontearcadinha,Fontearcadinha
1,1735-10-01,1735-10-01,Fonteira,Fonteira
1,1789-10-31,1789-10-31,"Fontelas, Lamego","Fontelas, Lamego"
1,1779-10-07,1779-10-07,"Fontelo, Lamego","Fontelo, Lamego"
1,1847-10-28,1847-10-28,"Fontelo, Viseu","Fontelo, Viseu"
1,1696-10-01,1696-10-01,Fontelos,Fontelos
1,1740-10-01,1740-10-01,Fontes Barrocas,Fontes Barrosas
1,1810-06-28,1810-06-28,"Fontes, Barcelos","Fontes, Barcelos"
1,1897-10-13,1897-10-13,"Fontes, Santa Marta de Penaguião","Fontes, Santa Marta de Penaguião"
1,1760-10-01,1760-10-01,"Fontoura, Guimarães","Fontoura, Guimarães"
1,1765-10-01,1765-10-01,"Fontoura, Lamego","Fontoura, Lamego"
1,1748-10-01,1748-10-01,Fontão Cimeiro,Fontão Cimeiro
1,1711-10-01,1711-10-01,"Fontão, Ponte de Lima","Fontão, Ponte de Lima"
1,1711-11-22,1711-11-22,Forcado,Forcado
1,1866-10-15,1866-10-15,Forcados,Forcados
1,1865-10-11,1865-10-11,Forcalhos,Forcalhos
1,1888-10-15,1888-10-15,Forjães,Forjães
1,1744-01-04,1744-01-04,Forles,Forles
1,1822-07-06,1822-07-06,Formas de Maceiradão,Formas de Maceiradão
1,1714-10-29,1714-10-29,Formatura 29101714,Formatura 29101714
1,1730-10-01,1730-10-01,Formelos,Formelos
1,1760-10-01,1760-10-01,"Formigais, Tomar","Formigais, Tomar"
1,1723-10-01,1723-10-01,Formigal,Formigal
1,1816-10-31,1816-10-31,"Formilo, Lamego","Formilo, Lamego"
1,1865-10-02,1865-10-02,"Formilo, Viseu","Formilo, Viseu"
1,1590-10-01,1590-10-01,Formos,Formos
1,1766-10-01,1766-10-01,"Formoselha, Matrículas nº 84, fl 344","Formoselha, Matrículas nº 84, fl 344"
1,1751-10-01,1751-10-01,"Formoselha, Montemor-o-Velho","Formoselha, Montemor-o-Velho"
1,1906-10-16,1906-10-16,"Fornelos, Guarda","Fornelos, Guarda"
1,1806-12-22,1806-12-22,"Fornelos, Lamego","Fornelos, Lamego"
1,1761-10-01,1761-10-01,"Fornelos, Penaguião","Fornelos, Penaguião"
1,1807-10-13,1807-10-13,"Fornelos, Viseu","Fornelos, Viseu"
1,1875-10-02,1875-10-02,Forno Tilheiro,Forno Tilheiro
1,1633-10-10,1633-10-10,"Fornos de Algodres, Linhares","Fornos de Algodres, Linhares"
1,1759-01-15,1759-01-15,Fornos de Algôdres,Fornos de Algôdres
1,1765-10-01,1765-10-01,Fornos de Canavezes,Fornos de Canavezes
