value,count,date_in,date_max
Santo Tirso,48,1563-10-06,1907-10-02
Ceira,47,1553-07-10,1909-10-07
Estarreja,47,1686-10-01,1907-10-11
Ferreira,47,1553-10-00,1885-07-18
Rio de Moinhos,47,1558-10-01,1908-10-07
Teixoso,47,1594-10-01,1909-10-08
Chão de Couce,46,1591-10-10,1895-10-04
São Vicente da Beira,46,1537-12-18,1912-06-19
Vila Verde,46,1579-11-28,1907-10-11
Albergaria-a-Velha,45,1705-10-01,1906-10-02
Angeja,45,1580-04-10,1867-10-15
"Angra do Heroísmo, Açores",45,1704-11-14,1909-10-07
Arrifana de Santa Maria,45,1562-12-31,1793-10-31
Arronches,45,1553-00-00,1805-10-11
São Gião,45,1663-10-01,1856-01-05
Vila Nova de Monsarros,45,1550-11-01,1888-10-15
Almendra,44,1592-10-28,1902-06-14
Arruda,44,1556-00-00,1892-10-27
Caria,44,1549-07-31,1895-10-14
Eixo,44,1586-10-14,1906-10-08
"São Paulo, Brasil",44,1722-10-01,1845-10-02
Alvares,43,1615-11-18,1909-10-11
Bobadela,43,1624-10-19,1859-10-08
Canavezes,43,1540-10-17,1798-10-02
Celorico de Basto,43,1550-06-09,1871-10-10
Ega,43,1604-10-01,1846-11-30
Maranhão,43,1782-10-31,1898-10-14
Sabugal,43,1537-12-18,1912-07-20
Torrozelo,43,1580-05-28,1888-10-02
Azeitão,42,1568-10-06,1835-10-12
Sandomil,42,1573-10-29,1894-10-02
Sesimbra,42,1600-01-17,1893-11-10
Abrunheira,41,1591-10-26,1909-10-11
Albufeira,41,1667-11-08,1910-10-11
Pernes,41,1537-01-29,1861-10-11
Pias,41,1564-02-26,1875-10-09
Alverca,40,1587-11-16,1892-10-14
Cadaval,40,1582-10-02,1907-10-04
Cerdeira,40,1586-10-01,1908-10-08
Ilha do Faial,40,1540-10-11,1835-06-17
Monsanto,40,1540-10-17,1904-10-03
Paredes,40,1616-10-25,1900-06-19
Prado,40,1587-10-16,1847-10-04
Sendim,40,1608-10-15,1909-10-15
Vieira,40,1581-10-21,1876-06-06
"Vila Cova de Sub-Avô, hoje Vila Cova de Alva",40,1578-11-08,1906-10-02
Vilela,40,1614-10-31,1893-10-13
Aldeia Nova do Cabo,39,1593-11-29,1909-10-12
Alhandra,39,1555-00-00,1814-10-15
Arcozelo,39,1607-10-27,1912-07-08
Fataunços,39,1714-10-22,1903-10-03
Favaios,39,1618-05-23,1898-10-12
Mértola,39,1558-00-00,1908-10-13
Paião,39,1613-06-19,1909-10-14
Penedono,39,1540-01-24,1909-10-13
Ranhados,39,1564-06-11,1905-10-03
Vimioso,39,1573-11-14,1910-10-13
Abiul,38,1574-10-01,1764-10-01
Carvalhal,38,1564-10-01,1798-10-17
Castanheira,38,1540-03-07,1880-10-14
Castelo Novo,38,1564-10-18,1871-10-14
Lagares,38,1589-03-23,1903-10-15
Lavos,38,1642-10-13,1869-10-15
Sangalhos,38,1603-10-11,1898-10-11
Trevões,38,1538-10-08,1903-10-03
Vila Chã,38,1592-01-11,1898-10-15
Algarve,37,1537-02-07,1801-10-16
Angra do Heroísmo,37,1572-03-15,1910-10-18
Belver,37,1586-10-01,1801-10-08
Canelas,37,1591-10-19,1901-10-14
"Funchal, Ilha da Madeira",37,1540-09-30,1909-10-02
Mourão,37,1579-11-06,1895-10-15
Parada,37,1591-12-07,1900-10-04
Póvoa de Lanhoso,37,1702-10-01,1872-10-09
Unhão,37,1579-10-02,1853-10-31
Aguiar da Beira,36,1564-11-10,1907-10-04
Fafe,36,1676-10-17,1910-11-07
"Funchal, Madeira",36,1711-01-18,1910-10-01
Minde,36,1585-10-02,1839-10-18
Miranda,36,1573-01-26,1772-01-07
Nogueira,36,1603-03-09,1907-10-14
Paranhos,36,1556-02-01,1898-10-08
Vila Cova,36,1559-10-01,1887-10-09
Almodôvar,35,1570-00-00,1893-10-12
Arazede,35,1592-10-12,1824-10-30
Cabeço de Vide,35,1537-05-28,1908-10-15
Oliveira do Bairro,35,1613-10-14,1908-10-15
Pederneira,35,1537-12-18,1899-10-02
Póvoa de Varzim,35,1700-10-01,1910-10-27
Tortosendo,35,1706-03-17,1908-10-07
Vila Cova à Coelheira,35,1578-11-08,1784-10-12
Belmonte,34,1617-11-18,1899-10-03
Cumieira,34,1620-11-20,1862-06-01
Odemira,34,1537-12-18,1908-10-02
Oliveirinha,34,1564-10-18,1880-10-15
Outeiro,34,1581-10-06,1814-10-08
Paiva,34,1609-10-10,1758-10-01
Silves,34,1540-10-22,1907-10-08
Sobral,34,1540-01-12,1907-10-10
Valdigem,34,1637-11-12,1908-10-08
Cartaxo,33,1608-10-31,1898-10-03
Cortiça,33,1621-10-13,1900-10-04
Farminhão,33,1600-11-02,1882-10-02
Gavião,33,1665-10-29,1908-10-02
Mesquitela,33,1585-10-14,1909-10-09
Mira,33,1581-10-03,1912-08-12
Mogofores,33,1537-12-18,1898-10-08
Muxagata,33,1592-10-01,1877-10-02
Passos,33,1585-10-02,1897-10-12
Penajóia,33,1659-10-10,1904-10-12
Sande,33,1677-01-08,1896-10-13
Santa Eulália,33,1653-10-14,1888-10-15
Silva Escura,33,1612-10-22,1900-10-04
São Silvestre,33,1601-10-29,1837-10-18
Vila de Rei,33,1594-10-11,1861-10-11
,32,1540-00-00,1771-05-24
Ilha,32,1561-10-01,1695-10-01
Lageosa,32,1654-01-04,1890-10-15
Loureiro,32,1609-10-09,1879-07-24
Oleiros,32,1537-00-00,1884-10-15
Oliveira de Frades,32,1574-03-13,1902-10-10
Quintela,32,1578-11-03,1898-10-12
Salreu,32,1682-10-01,1910-06-09
Vila Seca,32,1668-10-17,1857-07-02
Barrô,31,1646-10-29,1907-10-15
Carvalho,31,1599-01-21,1830-10-12
Gafete,31,1607-02-13,1902-10-04
Podentes,31,1656-11-04,1821-11-29
Pomares,31,1629-02-04,1847-10-15
São Joaninho,31,1604-11-16,1765-10-01
Tarouca,31,1557-00-00,1895-10-28
Valença,31,1590-11-10,1909-10-07
Vilarouco,31,1609-10-09,1795-00-00
Alcaide,30,1629-03-10,1893-10-14
Famalicão,30,1602-10-18,1909-10-09
Figueiró do Campo,30,1610-10-08,1837-10-27
"Minas Gerais, Brasil",30,1732-10-01,1822-10-21
Montalegre,30,1540-10-12,1887-10-14
Rio Maior,30,1573-11-13,1853-10-18
Sinde,30,1557-08-31,1885-07-02
São João,30,1594-10-01,1879-10-03
Álvaro,30,1578-11-14,1843-05-29
Aguieira,29,1556-02-01,1887-06-23
Atalaia,29,1576-11-26,1910-06-17
Benviver,29,1583-10-08,1840-10-03
Cadima,29,1604-10-01,1906-10-06
Caldas,29,1540-10-18,1782-10-30
Carapito,29,1588-10-18,1780-05-27
Ferreiros,29,1540-02-03,1902-10-08
Fornos,29,1566-10-21,1802-10-15
Nelas,29,1721-11-04,1909-10-02
Sanfins,29,1582-10-28,1804-10-15
Sarzedo,29,1604-10-20,1907-06-28
Soutelo,29,1622-10-10,1877-10-03
Vagos,29,1608-01-17,1909-10-18
Vila Nova de Famalicão,29,1622-10-03,1902-06-14
Ázere,29,1577-11-18,1881-11-12
Alijó,28,1677-01-08,1908-10-08
Angola,28,1666-10-01,1798-10-02
Barreiro,28,1540-10-03,1896-10-15
Cuba,28,1676-10-01,1908-10-08
Granja,28,1591-10-17,1859-10-11
"Ilha do Faial, Açores",28,1578-10-03,1850-07-06
Lamarosa,28,1659-03-20,1883-10-08
"Mariana, Brasil",28,1746-02-01,1804-10-17
Sarzedas,28,1538-00-00,1823-10-18
Tábua,28,1560-10-01,1903-10-06
Vilarinho,28,1587-10-01,1875-10-02
Algodres,27,1568-10-06,1900-10-15
Alvarelhos,27,1573-10-31,1909-10-02
Cambra,27,1589-10-01,1830-07-05
Casal Comba,27,1582-10-20,1876-10-15
Castelões,27,1623-11-08,1894-10-05
"Lavarrabos, hoje São João do Campo",27,1625-10-14,1873-10-15
Messejana,27,1554-03-00,1913-07-25
Meãs,27,1593-10-01,1903-10-06
Mondim,27,1560-10-01,1826-10-30
Murtosa,27,1672-10-01,1911-10-01
Regalados,27,1587-10-18,1805-10-16
Reveles,27,1675-10-01,1892-10-13
Ribeira da Pena,27,1639-11-08,1889-10-15
Sabrosa,27,1702-03-31,1906-10-06
Sebal Grande,27,1693-10-01,1888-10-08
Souto,27,1586-10-04,1899-10-02
Vila de Frades,27,1540-07-06,1860-10-06
Carvalhais,26,1580-04-21,1897-10-14
Ferreirim,26,1591-10-12,1902-07-09
Freixedas,26,1673-10-01,1909-10-02
Goa,26,1609-10-01,1890-10-02
"Maranhão, Brasil",26,1731-01-15,1891-10-26
Mêda,26,1587-01-18,1904-10-03
Panascoso,26,1656-10-16,1763-10-01
Pombalinho,26,1582-10-02,1909-10-07
Sebal,26,1540-10-19,1895-10-12
Serpins,26,1592-10-09,1867-10-03
São Tiago de Besteiros,26,1660-01-31,1881-10-12
Tourais,26,1573-12-10,1889-10-02
Vila Pouca,26,1554-00-00,1866-10-15
Alhadas,25,1631-01-12,1907-10-12
Bera,25,1615-11-13,1709-10-01
Carregal,25,1588-03-12,1857-10-15
Freixo,25,1587-10-03,1897-10-11
Lourinhã,25,1538-12-17,1909-10-02
Lousada,25,1629-10-15,1909-10-18
Rio de Galinhas,25,1616-10-06,1897-10-14
Sobreira Formosa,25,1646-01-18,1902-10-04
Alfândega da Fé,24,1705-12-01,1888-10-02
Armamar,24,1585-11-19,1906-10-04
