,wikidata,name,alias,bnp_id,naturalidade,placeID,longitude,latitude,birth_date,fauc_id
458,http://www.wikidata.org/entity/Q104410206,Manuel Francisco Medeiros,,,Horta,http://www.wikidata.org/entity/Q990385,-28.633333333333,38.533333333333,1791-10-31,
573,http://www.wikidata.org/entity/Q10324152,Manuel Francisco de Medeiros,,,Horta,http://www.wikidata.org/entity/Q990385,-28.633333333333,38.533333333333,1832-04-01,
7,http://www.wikidata.org/entity/Q966168,Manuel Gonçalves Cerejeira,Cardeal cerejeira,68690,Lousado,http://www.wikidata.org/entity/Q949303,-8.53028,41.35895,1888-11-29,
528,http://www.wikidata.org/entity/Q10324181,Manuel Gonçalves de Miranda,,,Bragança,http://www.wikidata.org/entity/Q768261,-6.75,41.8,1780-11-30,
812,http://www.wikidata.org/entity/Q24013840,Manuel Jorge Forbes de Bessa,,,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://www.wikidata.org/entity/Q15905280,-8.62333333,41.15583333,1864-08-24,
503,http://www.wikidata.org/entity/Q10324268,Manuel José Barjona,,,Coimbra,http://www.wikidata.org/entity/Q45412,-8.4288888888889,40.211111111111,1760-06-16,150405
518,http://www.wikidata.org/entity/Q10324283,Manuel José Mendes Leite,José Manuel Mendes Leite,,Aveiro,http://www.wikidata.org/entity/Q485581,-8.6552777777778,40.638888888889,1809-05-18,211479
533,http://www.wikidata.org/entity/Q10324283,Manuel José Mendes Leite,Mendes Leite,,Aveiro,http://www.wikidata.org/entity/Q485581,-8.6552777777778,40.638888888889,1809-05-18,
537,http://www.wikidata.org/entity/Q10324292,Manuel José da Silva,,1747432,Fresno,http://www.wikidata.org/entity/Q43301,-119.79222222222,36.781666666667,1892-08-19,
580,http://www.wikidata.org/entity/Q10324302,Manuel José de Pinho Soares de Albergaria,,,,,,,1800-03-31,
169,http://www.wikidata.org/entity/Q7424295,Manuel Maria Sarmento Rodrigues,Sarmento Rodrigues,109968,Bragança,http://www.wikidata.org/entity/Q373528,-6.75917,41.8072,1899-06-15,
538,http://www.wikidata.org/entity/Q10324400,Manuel Nicolau de Almeida,,,Vila Franca de Xira,http://www.wikidata.org/entity/Q917326,-8.9833333333333,38.95,1761-12-25,143991
531,http://www.wikidata.org/entity/Q10324445,Manuel Pires de Azevedo Loureiro,Manuel (III) Pires de Azevedo Loureiro,,Moreira,http://www.wikidata.org/entity/Q74805,-7.9191666666667,40.5525,1777-03-15,254109
32,http://www.wikidata.org/entity/Q878532,Manuel Teixeira Gomes,,23399,Portimão,http://www.wikidata.org/entity/Q543542,-8.5333333333333,37.133333333333,1860-05-27,178992
575,http://www.wikidata.org/entity/Q10324571,Manuel da Cruz,Dom Frei Manoel da Cruz,,Ordem,http://www.wikidata.org/entity/Q1116670,-8.3013888888889,41.287222222222,1690-02-05,
571,http://www.wikidata.org/entity/Q10324597,Manuel da Silva Mendes,,92687,Aves,http://www.wikidata.org/entity/Q1751766,-8.40838,41.37012,1867-10-23,212876
757,http://www.wikidata.org/entity/Q17318274,Manuel da Terra Pereira Viana,Manuel Terra Pereira Viana,,Q22064929,http://www.wikidata.org/entity/Q22064929,-41.45533,-21.67744,1856-01-18,
530,http://www.wikidata.org/entity/Q10324612,Manuel de Andrade (jurista),Manuel Augusto Domingues de Andrade,152282,,,,,1899-11-11,
554,http://www.wikidata.org/entity/Q10324678,Manuel de Serpa Machado,Manuel de serpa machado,,Santa Comba Dão,http://www.wikidata.org/entity/Q861208,-8.1333333333333,40.4,1784-12-04,
219,http://www.wikidata.org/entity/Q4902673,Manuel do Cenáculo,Frei Manuel do Cenáculo,44036,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1724-03-01,
562,http://www.wikidata.org/entity/Q10325737,Maria Baptista dos Santos Guardiola,Maria Guardiola,268598,Bragança,http://www.wikidata.org/entity/Q768261,-6.75,41.8,1895-01-13,
379,http://www.wikidata.org/entity/Q3295296,Martim Francisco Ribeiro de Andrada,Martim Francisco de Andrada e Silva,201410,Santos,http://www.wikidata.org/entity/Q81882,-46.333888888889,-23.960833333333,1775-04-09,
563,http://www.wikidata.org/entity/Q10327056,Marçal de Azevedo Pacheco,,102753,Loulé,http://www.wikidata.org/entity/Q586722,-8.02345,37.14399,1847-11-08,220490
770,http://www.wikidata.org/entity/Q23771065,Miguel José de Arriaga Brum da Silveira,,,Horta,http://www.wikidata.org/entity/Q990385,-28.633333333333,38.533333333333,1776-03-22,
577,http://www.wikidata.org/entity/Q10329878,Miguel Vaz Guedes de Ataíde,Miguel vaz guedes de ataíde,,Vila Real,http://www.wikidata.org/entity/Q503856,-7.7461111111111,41.295277777778,1829-07-08,183529
815,http://www.wikidata.org/entity/Q16930267,Mário Pais de Sousa,,988447,Santa Comba Dão,http://www.wikidata.org/entity/Q861208,-8.1333333333333,40.4,1891-02-22,
521,http://www.wikidata.org/entity/Q10334567,Mário de Figueiredo,,38205,Viseu,http://www.wikidata.org/entity/Q117676,-7.9138888888889,40.6575,1890-04-19,
589,http://www.wikidata.org/entity/Q10335749,Natividade Saldanha,José da Natividade Saldanha,181658,Jaboatão dos Guararapes,http://www.wikidata.org/entity/Q271393,-35.015,-8.1127777777778,1796-09-08,
