bnp_id,name_bn,date_bn,qualification,bnp_id,fauc_id
1749723,João Ferreira,17--,,1749723,
1749732,António Gomes,1783-1799,,1749732,
1750212,Maria da Graça Fortunata C.,17--,,1750212,
1750908,José Ferreira Cardoso Castelo,1790-1795,,1750908,
1751111,Carlos Calisto,1862-1913,,1751111,
1751265,Luís António Aprá,1857-1915,,1751265,
1751468,José Lourenço Franco de Matos,1821-1873,,1751468,
1751594,John Cornelius Griggs,1894,,1751594,
1751651,Francisco Pedro Vilar de Pinho,1834-1908,,1751651,
1751851,Joaquim Bento Pereira da Rosa,1846-,,1751851,
1751874,Manuel Homem de Melo da Câmara,1866-1953,,1751874,
1752217,Diocleciano Augusto Cardeira,18--,,1752217,
1752347,A. E. Victoria Pereira,18--,,1752347,
1752659,Manuel Borges de Cerqueira,17--,,1752659,
1752661,Amador António de Sousa,17--,,1752661,
1752732,Luís da Cunha Manuel,1703-1775,,1752732,
1752992,Tomás de Pina,17--,,1752992,
1752993,António de Divino Tomás,17--,,1752993,
1753009,Pedro da Anunciação,17--,,1753009,
1753074,Carlos Zeferino Pinto Coelho,1819-1893,,1753074,
1753099,Albino Valente,18--,,1753099,
1753101,Virgílio Baptista,1874?-1907,,1753101,
1753111,António Caldeira Cabral,1875-1939,,1753111,
1753192,José de Sousa de Meneses e Vasconcelos,18--,,1753192,
1753256,Abel de Sousa Pacheco,18---19--,,1753256,
1753257,Amândio de Campos,18---19--,,1753257,
1753436,Vasco Jardim,18--,,1753436,
1753437,Francisco Cabral Pais,18--,,1753437,
1753442,Henri Bousquet,18--,,1753442,
1753458,João de Almeida de Melo e Castro,1756-1814,,1753458,
1753584,José Marques de Anciães Proença,18---19--,,1753584,
1753680,João de Vila Nova de Vasconcelos Correia de Barros,1877-1932,,1753680,
1753917,Artur Nery de Oliveira e Sousa,18---19--,,1753917,
1754007,Frederico Mariares,18--,,1754007,
1754227,Ilídio Elias da Costa,18---19--,,1754227,
1754229,Alfredo Pinto de Sousa e Castro,18---19--,,1754229,
1754275,António Resende Elvas,18---19--,,1754275,
1754283,José Temudo Corte Real,18---19--,,1754283,
1754423,Jerónimo Vogado,1579-1652,S.J.,1754423,
1754597,António Maria do Couto Zagalo Júnior,1895-19--,,1754597,
1754598,Guilherme Machado Braga,18---19--,,1754598,
1754673,Quintela,1748-1817,"Barão de,",1754673,
1754699,Caetano Joaquim dos Reis,1893-1981,,1754699,
1754707,Bernardo Pereira da Fonseca Campeão,1793-1834,,1754707,
1754918,Maximiliano Cordes Cabedo,1883-1921,,1754918,
1754922,António Augusto Garcia d' Andrade,18--,,1754922,
1755013,Carlos Godoy,18--,,1755013,
1755026,J. C. Blanco,18--,,1755026,
1755160,Asseca,1786-1844,"Visconde de,",1755160,
1755180,António Francisco da Costa Lima,1856-1908,,1755180,
1755182,Tomás Laborde,18--,,1755182,
1755190,Álvaro de Almeida Matos,1880-1954,,1755190,
1755246,Henrique Fernandes de Barros,18---19--,,1755246,
1755251,Eurico Teixeira de Sousa,18---19--,,1755251,
1755258,Alfredo de Kennedy Falcão,18_-19_,,1755258,
1755478,António Luis de Sousa Sobrinho,1893-19--,,1755478,
1755570,António de Araújo,18--,,1755570,
1755697,João Emílio Raposo de Magalhães,1884-19--,,1755697,
1755767,António Xavier da Rocha Pinto,1870-1936,,1755767,
1756479,João Anacleto Rodrigues,1869-1948,,1756479,
1756562,José Maria Augusto Chaves Cruz,1870-1947,,1756562,
1756794,António José Bernardes de Miranda,1885-1957,,1756794,
1756909,José Estevão de Campos França,18---1911,,1756909,
1757072,António Maria Pereira de Almeida,18---19--,,1757072,
1757539,Henrique Martins,1871-1959,,1757539,
1757757,Gaspar Gonçalves,1540-1590,S.J.,1757757,
1757760,Antonio Capponi,1695-ca. 1728,,1757760,
1757761,Melchior Lobato,1565-1577,S.J.,1757761,
1757792,Jerónimo Fernandes,1539-1606,S.J.,1757792,
1757809,Jacob Aertsz Colom,1599-1673,,1757809,
1757844,Francisco António Rodrigues de Gusmão,1860-1919,,1757844,
1757879,Anadia,1755-1809,"Visconde de,",1757879,
1757936,Mateus Pereira de Campos,1780-1796,,1757936,
1757937,Manuel Pereira Barreto,1784,,1757937,
1757940,António Ferreira Gil,1702-17--,,1757940,
1757948,Condeixa,1803-1811,"Visconde de,",1757948,
1758090,Josué Trocado,1882-1962,,1758090,
1758326,Luís Figueiroa de Albuquerque,1828-1904,,1758326,
1758399,António Manuel de Santa Bárbara,1842-1904,,1758399,
1758441,Fernando de Almeida,1603/4-1660,,1758441,
1759086,António de São Domingos,"1667-?,",O.P.,1759086,
1759092,António de Santo Ambrósio,"16---17--,",O.F.M.,1759092,
1759094,João da Cruz,"1680-1745,",O.SS.T.,1759094,
1759716,Francisco Nogueira Lima e Sampaio,1725,,1759716,
1759718,Luís da Anunciação,1728,,1759718,
1760023,Cipriano de Pina Pestana,1708,,1760023,
1760025,Manuel Martins Mestre Aires,1708,,1760025,
1760241,Xavier Lopes Vilela,1677-17,,1760241,
1760378,Francisco Botelho de Morais e Vasconcelos,1670-17--,,1760378,
1760785,Guilhermino Alves Nunes,1889-1944,,1760785,
1761180,Artur Horta,18--,,1761180,
1761550,José de Meneses,1770,,1761550,
1761649,Tomás Correia de Melo,18--,,1761649,
1761699,António Moreno,18--,,1761699,
1761857,António Bossa,18--,,1761857,
1762238,David P. de M. Sarmento,1884?-1933,,1762238,
1762369,Bartolomeu dos Mártires de Maia,1764-1828,O.C.D.,1762369,
1762373,Celestino Feliciano de Menezes,1841-1862,,1762373,
1762433,Rio Pardo,1755-1829,1º Conde do,1762433,
1762556,Luís da Gama,1609(?)-1671,S.J.,1762556,
1762743,Francisco António Salgado Negrão,1822,,1762743,
1762794,Joaquim de Sousa Saraiva,1764-1818,C.M.,1762794,
1762954,Francisco de Faro e Noronha,1575-1661,,1762954,
1763042,"José António Pereira de Eça O'Neill de,  Bulhões",1896-1967,,1763042,
1763056,Mário Gonçalves,1892-1930,,1763056,
1763063,José Simões de Ameida,1880-1950,,1763063,
1763833,Mateus da Cruz Maniés,1886-1951,,1763833,
1764024,José Rosas,1885-1958,,1764024,
1764078,Manuel Rueda,18--,,1764078,
1764323,António Júlio da Silva Dias,18---19--,,1764323,
1764324,Hermenegildo Gomes de Oliveira Costa Bertolucci,18---19--,,1764324,
1764339,Francisco M. Motta d' Almeida,18--,,1764339,
1764359,Fulke Greville,1536-1606,,1764359,
1764433,João Francisco de Almeida,18---19--,,1764433,
1764434,António Torrado Vidal,18---19--,,1764434,
1764435,António Torrado Barbosa,18--19--,,1764435,
1764439,António Lopes de Morais,18---19--,,1764439,
1764448,Francisco Dias Nogueira,18---19--,,1764448,
1764449,Artur da Fonseca Costa,18--19--,,1764449,
1764484,George Cavendish,1497–c. 1562,,1764484,
1764594,Rómulo Alves de Oliveira,18---19--,,1764594,
1764600,Francisco Ribeiro Pereira Borges,18---19--,,1764600,
